0.159,0.153,-1.982,0.011,0.024,0.157,115.300,885.493,-552.953,-76.111,-7.482,-29.743,0.003
0.159,0.152,-1.979,0.014,0.034,0.154,111.213,876.403,-548.255,-76.916,-5.793,-25.333,0.003
0.160,0.152,-1.974,0.021,0.038,0.154,102.672,874.634,-543.741,-77.100,-4.760,-23.180,0.004
0.159,0.152,-1.972,0.024,0.042,0.151,98.036,871.523,-539.104,-77.258,-3.789,-21.517,0.002
0.161,0.152,-1.968,0.027,0.046,0.152,93.643,869.815,-535.810,-77.153,-2.888,-19.960,0.004
0.156,0.151,-1.966,0.038,0.046,0.144,82.418,869.815,-526.293,-76.785,-1.444,-17.965,0.002
0.174,0.151,-1.962,0.036,0.053,0.162,82.784,864.812,-540.203,-76.356,-0.840,-17.212,0.004
0.183,0.151,-1.960,0.043,0.064,0.166,75.098,854.380,-542.155,-75.709,-0.324,-16.565,0.002
0.182,0.150,-1.957,0.047,0.074,0.160,70.034,845.717,-533.614,-74.781,-0.158,-16.477,0.003
0.174,0.150,-1.954,0.046,0.086,0.144,70.156,834.797,-515.007,-73.224,-0.770,-16.617,0.003
0.173,0.150,-1.950,0.049,0.086,0.142,66.252,837.116,-509.700,-72.506,-1.173,-16.871,0.004
0.168,0.150,-1.948,0.054,0.082,0.137,60.151,841.081,-502.745,-71.509,-1.698,-17.133,0.002
0.172,0.149,-1.945,0.058,0.081,0.139,55.027,843.338,-502.989,-70.502,-2.319,-17.475,0.003
0.185,0.149,-1.942,0.057,0.102,0.144,54.905,824.671,-504.575,-69.321,-2.826,-17.860,0.004
0.195,0.149,-1.940,0.059,0.121,0.141,51.550,806.064,-499.573,-67.072,-4.314,-18.586,0.002
0.199,0.149,-1.937,0.059,0.137,0.132,50.146,791.667,-487.677,-66.101,-5.172,-18.910,0.004
0.204,0.149,-1.935,0.064,0.152,0.119,44.351,776.659,-473.890,-65.296,-6.117,-19.181,0.002
0.207,0.149,-1.932,0.070,0.159,0.112,36.420,770.925,-463.763,-64.692,-7.000,-19.531,0.004
0.201,0.149,-1.929,0.083,0.156,0.097,21.596,775.378,-445.644,-63.694,-8.715,-20.187,0.003
0.203,0.149,-1.928,0.084,0.157,0.098,20.132,775.195,-445.644,-63.161,-9.179,-20.476,0.002
0.206,0.149,-1.926,0.077,0.163,0.100,25.195,769.827,-446.071,-62.504,-9.669,-20.467,0.003
0.213,0.149,-1.923,0.071,0.172,0.103,29.832,761.652,-445.522,-62.076,-10.186,-20.319,0.004
0.224,0.149,-1.922,0.059,0.196,0.092,40.874,738.531,-434.236,-60.999,-10.842,-19.627,0.002
0.236,0.150,-1.920,0.055,0.212,0.088,43.680,723.097,-427.831,-60.719,-11.419,-18.962,0.003
0.246,0.150,-1.917,0.054,0.226,0.081,42.765,709.919,-419.046,-60.676,-11.822,-18.525,0.003
0.251,0.150,-1.915,0.059,0.234,0.071,36.725,703.453,-407.150,-60.641,-12.294,-18.061,0.003
0.255,0.151,-1.913,0.063,0.241,0.054,31.479,696.498,-388.177,-61.061,-13.231,-17.545,0.003
0.259,0.151,-1.911,0.064,0.245,0.051,28.978,693.387,-382.565,-61.367,-13.817,-17.580,0.003
0.262,0.151,-1.908,0.064,0.251,0.043,27.086,689.178,-372.255,-61.761,-14.482,-17.693,0.003
0.269,0.152,-1.905,0.061,0.258,0.044,28.734,682.894,-370.242,-62.181,-15.068,-17.728,0.004
